dia;hora;plataforma;pilar;formato;producto;hook;desarrollo;cta;toma
6;15:00;TikTok e Instagram Reels;nostalgia;antes y ahora;Brasil Retro 2004;Una camiseta que huele a futbol de otra epoca;Relaciona el diseno con Ronaldo Ronaldinho y el juego alegre de Brasil;Explora las retro en herencia90.shop;Toma calida con balon clasico
6;20:00;TikTok e Instagram Reels;confianza_proceso;pedido real sin datos;Empaque HERENCIA90;Esto debe pasar antes de que una camiseta salga de HERENCIA90;Muestra revision de talla costuras doblado y empaque sin exponer cliente;Compra en herencia90.shop y recibe soporte por WhatsApp;Plano cenital continuo de mesa
7;15:00;TikTok e Instagram Reels;deseo_producto;detalle dorado;Argentina Local 2026;El dorado cambia por completo esta camiseta;Acerca los detalles y termina con la prenda completa puesta;Revisa stock en herencia90.shop;Macro a plano medio con cambio de foco
7;20:00;TikTok e Instagram Reels;interaccion;ranking de dos;Alemania vs Argentina 2026;Dos clasicos del Mundial pero solo uno entra a tu coleccion;Compara frente cuello y espalda con la misma luz;Vota en comentarios y mira el catalogo en herencia90.shop;Mesa dividida y manos intercambiando prendas
8;15:00;TikTok e Instagram Reels;confianza_proceso;comparacion honesta;Fotos propias vs fotos de proveedor;Asi distinguimos lo que tenemos en mano de lo que llega bajo pedido;Explica que stock usa evidencia propia y bajo pedido puede usar referencia aprobada;Compra informado en herencia90.shop;Pantalla partida entre estudio y pagina de producto
8;20:00;TikTok e Instagram Reels;deseo_producto;get ready with me;Colombia Visitante 2026 Azul;Como usar una camiseta de futbol sin parecer que vas a jugar;Combina con jean recto chaqueta ligera y tenis neutros;Encuentra la prenda en herencia90.shop;Tres cortes de vestuario en plano fijo
9;15:00;TikTok e Instagram Reels;nostalgia;historia de camiseta;Colombia Retro 1994;Una camiseta puede guardar una eliminatoria entera;Cuenta la expectativa de Estados Unidos 1994 sin exagerar resultados;Busca Colombia 1994 en herencia90.shop;Prenda sobre mesa con titulares en texto
9;20:00;TikTok e Instagram Reels;deseo_producto;look oscuro;Portugal Edicion Especial;Para quien quiere Portugal sin usar el rojo de siempre;Muestra el color especial con pantalon negro y luz contrastada;Consulta opciones en herencia90.shop;Plano bajo y giro de hombros
10;15:00;TikTok e Instagram Reels;deseo_producto;reveal manga larga;Manchester United 2007-08 Retro;Esta manga larga no necesita explicacion para un fan de Cristiano;Ensenala puesta y resalta largo mangas y dorsal si aplica;Mira la ficha completa en herencia90.shop;Entrada caminando y macro de manga
10;20:00;TikTok e Instagram Reels;venta_directa;recorrido de compra;Catalogo HERENCIA90;Tu proxima camiseta puede estar a tres pasos;Muestra elegir modelo seleccionar talla y revisar pedido sin prometer pago realizado;Empieza en herencia90.shop y usa WhatsApp solo si necesitas soporte;Grabacion de pantalla con mano usando movil
11;15:00;TikTok e Instagram Reels;confianza_proceso;explicador de stock;Stock y bajo pedido;Disponible y bajo pedido no significan lo mismo;Explica entrega inmediata frente a pre orden con tiempos confirmados antes de pagar;Revisa el estado de cada producto en herencia90.shop;Dos prendas con tarjetas de texto
11;20:00;TikTok e Instagram Reels;nostalgia;archivo merengue;Real Madrid Retro 1999-00;Antes de los Galacticos esta camiseta ya anunciaba una era;Cuenta el cambio de siglo y enfoca el diseno limpio;Explora Real Madrid retro en herencia90.shop;Fondo blanco con sombras marcadas
12;15:00;TikTok e Instagram Reels;deseo_producto;duelo de colores;Brasil Local vs Visitante 2026;Amarilla iconica o azul para salir de lo obvio;Muestra ambas con el mismo outfit base;Elige la tuya en herencia90.shop;Cambio por salto en plano cuerpo entero
12;20:00;TikTok e Instagram Reels;deseo_producto;reveal limpio;Francia Local 2026;El azul de Francia funciona incluso lejos del estadio;Presenta prenda completa y dos combinaciones de calle;Consulta tallas en herencia90.shop;Plano frente a pared gris y detalle de textura
13;15:00;TikTok e Instagram Reels;nostalgia;objeto de culto;Argentina Retro 1986 bajo pedido;Hay camisetas que se compran por lo que paso con ellas;Resume el peso cultural de 1986 y aclara que es bajo pedido;Busca la pre orden en herencia90.shop;Luz de museo y texto de ano
13;20:00;TikTok e Instagram Reels;interaccion;elige una era;Colombia 1990 vs 1994 vs 2001;Que generacion de Colombia llevarias hoy;Muestra tres siluetas y deja dos segundos para cada una;Escribe 90 94 o 01 y visita herencia90.shop;Perchero con paneo lateral
14;15:00;TikTok e Instagram Reels;confianza_proceso;paso a paso;Compra bajo pedido;Asi funciona una pre orden sin letras pequenas;Explica solicitud confirmacion de modelo talla plazo y seguimiento;Revisa condiciones en herencia90.shop y resuelve dudas por WhatsApp;Pizarra con cuatro pasos y B roll
14;20:00;TikTok e Instagram Reels;deseo_producto;edicion musical;Barcelona Travis Scott;Esta no es una camiseta para pasar desapercibido;Muestra la edicion especial con cortes sincronizados y fondo oscuro;Mira disponibilidad en herencia90.shop;Luces puntuales y giro rapido
15;15:00;TikTok e Instagram Reels;nostalgia;memoria de campeon;Colombia Retro 2001 bajo pedido;La camiseta de una Colombia campeona en casa;Cuenta en una frase la Copa America 2001 y muestra detalles del modelo;Pidela bajo pedido en herencia90.shop;Fondo amarillo y recorte de fecha
15;20:00;TikTok e Instagram Reels;deseo_producto;minimalismo;Colombia 100 Anos Blanca;Cuando la camiseta de Colombia cambia el amarillo por algo mas sobrio;Combinala con tonos neutros y muestra frente espalda;Consulta el modelo en herencia90.shop;Plano callejero con pared clara
16;15:00;TikTok e Instagram Reels;confianza_proceso;fit real;Fan vs player;Fan y player no se sienten igual en el cuerpo;Compara corte ancho pecho y largo usando la misma talla cuando exista;Lee la guia antes de elegir en herencia90.shop;Dos modelos o maniquies lado a lado
16;20:00;TikTok e Instagram Reels;deseo_producto;streetwear;Real Madrid LFSTLR;La camiseta de Real Madrid que parece pensada para la calle;Arma un outfit monocromatico y enfoca la textura;Mira la ficha en herencia90.shop;Movimiento lento en exterior
17;15:00;TikTok e Instagram Reels;deseo_producto;reveal nueva temporada;Bayern Munich Local 2026-27;El rojo del Bayern volvio con mas fuerza;Muestra espalda cuello y como cae en talla real;Consulta stock en herencia90.shop;Plano frontal con fondo rojo oscuro
17;20:00;TikTok e Instagram Reels;nostalgia;leyendas;Brasil Retro;Tres nombres que convirtieron una amarilla en uniforme de infancia;Usa texto Ronaldo Ronaldinho y Kaka sobre macros de la prenda;Explora Brasil retro en herencia90.shop;Macro con fotos solo si se tienen derechos de uso
18;15:00;TikTok e Instagram Reels;interaccion;pregunta educativa;Fan o player;Que prefieres comodidad diaria o corte ajustado;Muestra ambas opciones y pide explicar el motivo;Comenta fan o player y revisa la guia en herencia90.shop;Split screen con etiquetas claras
18;20:00;TikTok e Instagram Reels;confianza_proceso;politicas claras;Cambios y devoluciones;Antes de comprar debes saber como funcionan los cambios;Resume talla estado de la prenda plazos y canal de soporte sin reemplazar la politica;Lee la politica completa en herencia90.shop;Grabacion de pagina y texto legible
19;15:00;TikTok e Instagram Reels;deseo_producto;look femenino;Colombia Visitante Mujer 2026;El azul visitante tambien tiene otra silueta;Muestra ajuste real con dos opciones de styling;Revisa disponibilidad en herencia90.shop;Plano medio y cuerpo entero sin filtros de forma
19;20:00;TikTok e Instagram Reels;nostalgia;partido que se recuerda;Manchester United 2007-08;Una temporada que cualquier fan del United reconoce al instante;Relaciona camiseta manga larga y noche europea sin usar material ajeno;Busca la retro en herencia90.shop;Prenda bajo luz de estadio recreada
20;15:00;TikTok e Instagram Reels;deseo_producto;comparacion local visitante;Argentina 2026;Argentina de rayas o la visitante oscura;Cambia entre ambas y muestra que outfit favorece cada una;Mira las dos en herencia90.shop;Transicion lateral con el mismo encuadre
20;20:00;TikTok e Instagram Reels;venta_directa;stock real;Coleccion Colombia;Si estabas esperando talla este es el momento de revisar;Muestra solo tallas realmente disponibles en pantalla y fecha de corte;Compra desde herencia90.shop y consulta por WhatsApp si dudas de la talla;Pantalla del catalogo mas prendas en mesa
21;15:00;TikTok e Instagram Reels;confianza_proceso;cuidados;Todas las camisetas;Tres errores que acortan la vida de tu camiseta;Explica lavar al reves agua fria y evitar calor directo en estampados;Guarda la guia y compra informado en herencia90.shop;Plano lavadero con iconos de si y no
21;20:00;TikTok e Instagram Reels;deseo_producto;clasico moderno;Alemania 2026;Una camiseta blanca con mas detalle del que parece;Recorre graficos cuello y caida sin afirmar autenticidad;Consulta la talla disponible en herencia90.shop;Macro deslizante y plano completo
22;15:00;TikTok e Instagram Reels;nostalgia;historia de diseno;Croacia 1998 bajo pedido;Los cuadros que llegaron a un Mundial para quedarse;Cuenta el tercer puesto y el valor visual de la camiseta;Encuentrala bajo pedido en herencia90.shop;Movimiento diagonal sobre cuadros
22;20:00;TikTok e Instagram Reels;deseo_producto;reveal premier;Arsenal Local 2026-27;El Arsenal nuevo merece mas que una foto de catalogo;Muestra como cambia el rojo bajo luz natural y artificial;Mira la nueva temporada en herencia90.shop;Dos tomas con cambio de iluminacion
23;15:00;TikTok e Instagram Reels;interaccion;top cinco;Mundial 2026;Ordena estas cinco sin quedar mal con nadie;Presenta Colombia Mexico Japon Argentina y Alemania en cinco segundos;Deja tu ranking y revisa el catalogo en herencia90.shop;Tarjetas numeradas con imagen autorizada o prenda propia
23;20:00;TikTok e Instagram Reels;nostalgia;final historica;Italia 1994 bajo pedido;Una camiseta que quedo un penalti lejos de otra historia;Cuenta la tension de 1994 y muestra el azul clasico;Pidela bajo pedido en herencia90.shop;Luz azul y sonido ambiente propio
24;15:00;TikTok e Instagram Reels;deseo_producto;detalle aniversario;Barcelona 125 Aniversario;Una camiseta hecha para quien colecciona fechas;Enfoca insignias fecha y contraste de colores;Consulta tallas en herencia90.shop;Macro estable con rotacion manual
24;20:00;TikTok e Instagram Reels;confianza_proceso;detras de camara;Sesion de fotos HERENCIA90;Asi hacemos que el color de la web se parezca al real;Muestra carta gris luz fija y revision en movil sin alterar el producto;Mira fotos verificadas en herencia90.shop;Time lapse del mini estudio
25;15:00;TikTok e Instagram Reels;nostalgia;era galactica;Real Madrid Retro 1999-2003;Cuando una camiseta blanca reunio demasiadas estrellas;Muestra dos modelos y deja que el diseno cuente la epoca;Explora Real Madrid retro en herencia90.shop;Paneo horizontal con nombres en texto
25;20:00;TikTok e Instagram Reels;deseo_producto;reveal seleccion;Portugal Local 2026;Portugal sin edicion especial tambien tiene presencia;Presenta rojo detalles y ajuste con un look sencillo;Consulta disponibilidad en herencia90.shop;Plano medio con bandera solo si es propia
26;15:00;TikTok e Instagram Reels;deseo_producto;comparacion de corte;Colombia Local 2026 Player;La misma seleccion pero una sensacion distinta;Muestra ajuste player frente a fan con medidas visibles;Elige tu version en herencia90.shop;Plano lado a lado con cinta metrica
26;20:00;TikTok e Instagram Reels;confianza_proceso;seguimiento;Pedido HERENCIA90;Que pasa despues de confirmar tu pedido;Explica registro preparacion despacho y soporte sin mostrar datos personales;Compra en herencia90.shop y usa WhatsApp como soporte;Animacion con cuatro tarjetas y B roll real
27;15:00;TikTok e Instagram Reels;nostalgia;clasico sudamericano;River Plate 1996-97 bajo pedido;Una banda roja que no necesita cambiar para contar historia;Muestra el corte noventero y la identidad del diseno;Busca River retro en herencia90.shop;Prenda cruzando cuadro en diagonal
27;20:00;TikTok e Instagram Reels;interaccion;derbi local;Atletico Nacional vs DIM;Cual camiseta de Medellin deberia llegar primero;Presenta referencias solo como candidatos sin anunciar stock;Vota Nacional o DIM y registrate en herencia90.shop;Texto grande verde y rojo sobre fondo neutro
28;15:00;TikTok e Instagram Reels;deseo_producto;pieza especial;Colombia Originals Classic;La camiseta de Colombia para quien quiere algo menos obvio;Muestra color textura y como funciona en un outfit diario;Consulta la pre orden en herencia90.shop;Plano detalle y caminata exterior
28;20:00;TikTok e Instagram Reels;nostalgia;campeones;Espana 2010 bajo pedido;Hay una estrella que siempre lleva a Sudafrica 2010;Resume el recuerdo del titulo y muestra el modelo con respeto al diseno;Pidela bajo pedido en herencia90.shop;Luz roja oscura y fecha en pantalla
29;15:00;TikTok e Instagram Reels;confianza_proceso;transparencia visual;Fotos de proveedor;Una foto bonita no basta para prometer calidad;Explica que HERENCIA90 aprueba muestra color tallaje y acabado antes de comprar lote;Compra con informacion clara en herencia90.shop;Proveedor en pantalla desenfocada y muestra real al frente
29;20:00;TikTok e Instagram Reels;deseo_producto;prueba de interes;Mexico Local 2026 muestra;Una de las favoritas del Mundial podria llegar a HERENCIA90;Presenta la referencia como muestra pendiente y pide intencion real;Registrate en herencia90.shop sin pagar por adelantado;Mockup marcado como referencia o muestra fisica aprobada
30;15:00;TikTok e Instagram Reels;venta_directa;cierre de mes;Stock disponible HERENCIA90;Estas son las tallas que puedes pedir hoy sin esperar;Muestra productos y cantidades reales tomadas del catalogo del dia;Revisa y arma tu pedido en herencia90.shop;Mesa con etiquetas de talla y captura del sitio
30;20:00;TikTok e Instagram Reels;nostalgia;manifiesto de marca;HERENCIA90;No vendemos solo camisetas vendemos la historia que decides vestir;Une clips del mes de Colombia retro equipos y empaques;Empieza tu coleccion en herencia90.shop;Montaje de 20 segundos con cierre de logo
